Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordin Canada,SEA,G,20,483,20,11,24.2,2.8,6.6,0.424,0.1,0.6,0.091,2.8,6.1,0.455,2.2,2.9,0.772,0.5,2.3,5.5,1.5,0,2,1.8,7.9
Emma Cannon,LVA,F,1,0,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Bridget Carleton,MIN,F,22,568,22,15,25.8,2.4,4.6,0.52,1,2.1,0.457,1.5,2.5,0.571,0.8,1.3,0.643,1,3.6,2.5,0.7,0,1.2,1.8,6.6
Chennedy Carter,ATL,G,16,406,16,16,25.4,6.6,14,0.473,0.8,2,0.375,5.9,12,0.49,3.4,4.2,0.821,0.5,2.3,3.4,0.9,0.3,2.7,3.6,17.4
Kaila Charles,CON,G-F,21,376,21,7,17.9,1.9,4.6,0.412,0.5,1.4,0.367,1.4,3.2,0.433,1,1.5,0.71,1.1,2.6,0.9,0.8,0.3,0.9,2.1,5.4
Karima Christmas-Kelly,MIN,F-G,2,25,2,0,12.5,0.5,3.5,0.143,0,1.5,0,0.5,2,0.25,3.5,4,0.875,0.5,3,0.5,1.5,0.5,2,1,4.5
Layshia Clarendon,NYL,G,19,496,19,19,26.1,3.9,8.4,0.465,0.8,2.3,0.341,3.1,6.1,0.513,2.9,3.3,0.873,0.3,2.5,3.9,0.9,0,3.4,2.9,11.5
Alysha Clark,SEA,F,22,633,22,22,28.8,3.7,6.7,0.558,1.6,3,0.522,2.1,3.6,0.588,0.9,1.1,0.8,0.9,4.2,2.7,1.5,0.5,0.9,1.7,10
Alaina Coates,WAS,C,20,197,20,0,9.9,0.9,1.7,0.529,0,0,,0.9,1.7,0.529,0.7,1.3,0.538,1,2.8,0.5,0.4,0.2,0.6,1.7,2.5
Nia Coffey,PHO,F,15,230,15,1,15.3,1.1,2.5,0.421,0.5,1.4,0.333,0.6,1.1,0.529,0.1,0.4,0.167,0.3,2.5,0.8,0.3,0.3,0.5,2,2.7
Napheesa Collier,MIN,F,22,752,22,22,34.2,6.2,11.8,0.523,0.9,2.2,0.408,5.3,9.6,0.55,2.9,3.5,0.829,2.8,9,3.3,1.8,1.3,2.7,2.7,16.1
Sydney Colson,CHI,G,17,110,17,0,6.5,0.6,1.3,0.455,0.2,0.5,0.333,0.4,0.8,0.538,0.4,0.5,0.875,0.1,0.4,0.8,0.4,0,0.8,0.8,1.8
Te'a Cooper,LAS,G,20,345,20,3,17.3,2.6,5.7,0.451,0.6,1.6,0.344,2,4.1,0.494,1.3,1.7,0.765,0.1,1,2,0.7,0,1.5,2,7
Kahleah Copper,CHI,G-F,22,688,22,22,31.3,6,12.1,0.496,1,2.8,0.344,5,9.3,0.541,1.9,2.6,0.737,1,5.5,2.1,1,0.2,2.5,2.4,14.9
Lauren Cox,IND,F,14,183,14,1,13.1,1.3,3.1,0.419,0.2,0.4,0.5,1.1,2.6,0.405,0.8,1.1,0.733,0.7,3.3,1.4,0.4,0.3,0.8,1.4,3.6
Sophie Cunningham,PHO,G,21,396,21,11,18.9,1.7,4.3,0.385,0.6,2.4,0.235,1.1,1.9,0.575,1,1.2,0.88,0.4,1,0.8,0.5,0.1,0.7,2.2,5
Crystal Dangerfield,MIN,G,21,629,21,19,30,5.9,12.5,0.471,1.6,4.9,0.333,4.3,7.7,0.559,2.8,3,0.922,0.2,2,3.6,0.9,0,2.6,1.5,16.2
Damiris Dantas,MIN,F,22,586,22,22,26.6,4.6,10,0.464,1.8,4.1,0.433,2.9,5.9,0.485,1.8,2.5,0.727,1.7,6.1,2.6,1.1,0.2,1.8,2.5,12.9
Kaela Davis,ATL,F,2,2,2,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Diamond DeShields,CHI,G,13,224,13,0,17.2,2.8,6.4,0.434,0.2,1.4,0.167,2.5,5,0.508,1.1,1.4,0.778,0.2,1.8,1.5,0.9,0.1,2.3,2.1,6.8
Blake Dietrick,ATL,G,22,463,22,4,21,2.2,4.7,0.471,1.2,2.6,0.448,1,2.1,0.5,0.2,0.4,0.625,0.4,1.6,3.4,0.8,0.1,1.8,1.9,5.9
Skylar Diggins-Smith,PHO,G,22,675,22,22,30.7,5.8,12.2,0.474,2.1,5.3,0.397,3.7,6.9,0.533,4.1,4.5,0.9,0.5,3.3,4.2,0.9,0.5,3.2,2.3,17.7
Stefanie Dolson,CHI,C,15,273,15,8,18.2,2.3,4.7,0.486,0.8,2.1,0.375,1.5,2.5,0.579,0.9,1.3,0.737,0.7,3.5,1.7,0.4,0.9,1,3.2,6.3
Kathleen Doyle,IND,G,18,155,18,0,8.6,0.6,2.3,0.244,0.3,1.2,0.238,0.3,1.1,0.25,0.1,0.2,0.5,0.2,0.8,1.1,0.4,0,1,1.4,1.5
Candice Dupree,IND,F,22,665,22,22,30.2,5.3,11.4,0.462,0.1,0.8,0.167,5.1,10.6,0.485,1.9,2.2,0.854,1.2,5.7,2.5,0.7,0.4,1.3,1.2,12.5
Sylvia Fowles,MIN,C,7,168,7,7,24,5.6,9.1,0.609,0,0,,5.6,9.1,0.609,3.4,4.1,0.828,3,9.7,0.9,0.9,1.1,1.1,2.6,14.6
Allisha Gray,DAL,G,20,524,20,14,26.2,4.6,9.8,0.464,1.3,3.6,0.352,3.3,6.3,0.528,2.7,3.3,0.831,1.4,4.2,1.3,1.1,0.3,1.1,1.9,13.1
Chelsea Gray,LAS,G,22,679,22,22,30.9,5.5,12.5,0.442,0.8,2.7,0.305,4.7,9.9,0.479,2.1,2.2,0.939,0.7,3.7,5.3,1.5,0.1,2.7,1.7,14
Reshanda Gray,LAS,F,10,62,10,0,6.2,0.4,1.1,0.364,0,0,,0.4,1.1,0.364,0.6,0.7,0.857,0.6,2.8,0.3,0.1,0.4,1,1,1.4
Brittney Griner,PHO,C,12,382,12,12,31.8,7.3,14.6,0.497,0,0.1,0,7.3,14.5,0.5,3.2,3.9,0.809,1.5,7.5,3,0.3,1.8,2.5,2.5,17.7
